,page_id,text,label,Pattern Category
0,1012.0,FLASH SALE | LIMITED TIME ONLY Shop Now,1,Urgency
1,158.0,Pillowcases & Shams,0,Not Dark Pattern
2,108.0,Write a review,0,Not Dark Pattern
3,1425.0,"To start your return, simply click on the following button and add your return details. Once the form is filled, you will receive an email with shipping instructions for how to ship the item(s) to our warehouse.",0,Not Dark Pattern
4,1658.0, newsletter signup (privacy policy) ,0,Not Dark Pattern
5,975.0,In demand,1,Scarcity
6,1469.0,"We cannot guarantee door to door delivery for every customer. Buyers in remote areas such as farms, islands, mining camps, small towns, or out-of-towners, etc may need to collect from their nearest freight depot.",0,Not Dark Pattern
7,1570.0,Hurry! Only 2 left in stock,1,Scarcity
8,1617.0,In Stock only 3 left,1,Scarcity
9,108.0,International Shipping Policy,0,Not Dark Pattern
10,1333.0,"Clothes, Shoes & Accessories",0,Not Dark Pattern
11,1199.0,Hurry! Only 2 left,1,Scarcity
12,822.0,Primary Arms Scopes,0,Not Dark Pattern
13,1264.0,ONLY 8 LEFT,1,Scarcity
14,1609.0,MoTrail,0,Not Dark Pattern
15,776.0,LCD Ribbon Cables,0,Not Dark Pattern
16,1779.0,READY FOR YOUR NEXT AUTHENTIC NHL JERSEY?,0,Not Dark Pattern
17,1739.0,OUR BEST SELLING GOGGLE,1,Misdirection
18,98.0,"1,142 people have added to cart recently",1,Social Proof
19,1438.0,Limited Availability,1,Scarcity
20,449.0,No thanks. I don't like free things...,1,Misdirection
21,1667.0, read you will want to read -- Five Book Group Favourites * Sunday Post *,0,Not Dark Pattern
22,212.0, Supply & Demand ,0,Not Dark Pattern
23,284.0,"Michael in Pontiac, United States purchased a  ",1,Social Proof
24,1381.0,Bathroom Lighting,0,Not Dark Pattern
25,822.0, Shop Optics > ,0,Not Dark Pattern
26,4.0,9 people are viewing this.,1,Social Proof
27,1082.0,"894 Claimed! Hurry, only a few left!",1,Scarcity
28,255.0,77 PEOPLE LIKE THIS,1,Social Proof
29,833.0,Girls Trousers,0,Not Dark Pattern
30,1009.0,Specs,0,Not Dark Pattern
31,1073.0,4 items left,1,Scarcity
32,495.0,HURRY! EXCLUSIVE DEAL FOR YOU! 1 4 : 4 5,1,Urgency
33,718.0,Offer ends in,1,Urgency
34,25.0,"Another babe in Alexandria, United States just ordered Flat Tummy Tea",1,Social Proof
35,276.0,Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,1,Social Proof
36,819.0,More Info,0,Not Dark Pattern
37,822.0,Daystate FAC Air Rifles,0,Not Dark Pattern
38,4.0,"Keyboard Navigation Profile (Motor-Impaired): this profile enables motor-impaired persons to operate the website using the keyboard Tab, Shift+Tab, and the Enter keys. Users can also use shortcuts such as “M” (menus), “H” (headings), “F” (forms), “B” (buttons), and “G” (graphics) to jump to specific elements.",0,Not Dark Pattern
39,126.0,24 sold in last 24 hours.,1,Social Proof
40,1428.0, #CERTIFIED_FACE_MASKS ,0,Not Dark Pattern
41,1468.0,Shop the Look,0,Not Dark Pattern
42,638.0,Kicks Remotes,0,Not Dark Pattern
43,1414.0,Only 7 left in stock.,1,Scarcity
44,414.0,Whey Protein Isolate,0,Not Dark Pattern
45,1736.0, Cases for Magsafe Refine by Product Type: Cases for Magsafe ,0,Not Dark Pattern
46,414.0,Product Info,0,Not Dark Pattern
47,35.0,Someone from Norway purchased a Super FG Grater - 12x Faster - 15% OFF,1,Social Proof
48,395.0, Sign In With Google ,0,Not Dark Pattern
49,203.0,Shop All,0,Not Dark Pattern
50,1119.0, You can change your preference here Shop for Select an age ,0,Not Dark Pattern
51,1656.0,1 in Stock,1,Scarcity
52,1590.0, shop all ,0,Not Dark Pattern
53,1405.0,Low Stock Alert: Only 8 left in inventory,1,Scarcity
54,1536.0,Womens Platform Shoes,0,Not Dark Pattern
55,767.0,Screen print graphics,0,Not Dark Pattern
56,149.0,"IBKUL Solid Mock Neck Half Zip Pullover purchased from Clinton, MD, US 1 minute ago",1,Social Proof
57,395.0,Thin and tough - protects from minor scratches,0,Not Dark Pattern
58,361.0,Kimberly R.,0,Not Dark Pattern
59,432.0,I don't feel lucky,1,Misdirection
60,1673.0,Only 3 items left,1,Scarcity
61,680.0, Butterscotch Cakes ,0,Not Dark Pattern
62,146.0,"Someone in Saint Kilda, Victoria purchased Frank Queen Size Bed Base",1,Social Proof
63,662.0,Awntech New Yorker Window/Entry Slope Awnin ...,0,Not Dark Pattern
