1,1_selector,2,3,2_selector,3_selector
5K+ bought in past month,span.a-color-secondary::text,,"OnePlus Nord CE 3 5G (Aqua Surge, 8GB RAM, 128GB Storage)",span.a-badge-text::text,span.a-text-normal::text
1K+ bought in past month,span.a-color-secondary::text,,"Redmi Note 13 5G (Arctic White, 12GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever",span.a-badge-text::text,span.a-text-normal::text
5K+ bought in past month,span.a-color-secondary::text,,"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",span.a-badge-text::text,span.a-text-normal::text
5K+ bought in past month,span.a-color-secondary::text,,"POCO C51 (Power Black, 6GB RAM, 128GB Storage)",span.a-badge-text::text,span.a-text-normal::text
M.R.P: ,span.a-color-secondary::text,,"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera",span.a-badge-text::text,span.a-text-normal::text
,span.a-color-secondary::text,,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)",span.a-badge-text::text,span.a-text-normal::text
5K+ bought in past month,span.a-color-secondary::text,,"POCO C51 (Royal Blue, 6GB RAM, 128GB Storage)",span.a-badge-text::text,span.a-text-normal::text
5K+ bought in past month,span.a-color-secondary::text,,"Redmi A2 (Aqua Blue, 2GB RAM, 64GB Storage)",span.a-badge-text::text,span.a-text-normal::text
5K+ bought in past month,span.a-color-secondary::text,,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",span.a-badge-text::text,span.a-text-normal::text
3K+ bought in past month,span.a-color-secondary::text,,"realme narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",span.a-badge-text::text,span.a-text-normal::text
2K+ bought in past month,span.a-color-secondary::text,,"Redmi 13C 5G (Startrail Green,6GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",span.a-badge-text::text,span.a-text-normal::text
3K+ bought in past month,span.a-color-secondary::text,,"Redmi Note 13 5G (Arctic White, 8GB RAM, 256GB Storage) | MTK Dimensity 6080 5G | 7.6mm, Slimmest Note Ever",span.a-badge-text::text,span.a-text-normal::text
300+ bought in past month,span.a-color-secondary::text,,"Samsung Galaxy A34 5G (Awesome Violet, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Travel Adapter to be Purchased Separately",span.a-badge-text::text,span.a-text-normal::text
500+ bought in past month,span.a-color-secondary::text,,"Redmi 13C (Starshine Green, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",span.a-badge-text::text,span.a-text-normal::text
500+ bought in past month,span.a-color-secondary::text,,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",span.a-badge-text::text,span.a-text-normal::text
5K+ bought in past month,span.a-color-secondary::text,,"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",span.a-badge-text::text,span.a-text-normal::text
